ISIC	IPC	%	SECTOR
3830-3832	H02B	100	Electric mach., ex. electronics
3830-3832	H02G	100	Electric mach., ex. electronics
3830-3832	H02H	100	Electric mach., ex. electronics
3830-3832	H02J	100	Electric mach., ex. electronics
3830-3832	H02K	100	Electric mach., ex. electronics
3830-3832	H02M	100	Electric mach., ex. electronics
3830-3832	H02N	100	Electric mach., ex. electronics
3830-3832	H02P	100	Electric mach., ex. electronics
3832	H03B	100	Electronics
3832	H03C	100	Electronics
3832	H03D	100	Electronics
3832	H03F	100	Electronics
3832	H03G	100	Electronics
3832	H03H	100	Electronics
3832	H03J	100	Electronics
3832	H03K	100	Electronics
3832	H03L	100	Electronics
3830-3832	H03M	100	Electric mach., ex. electronics
3832	H04A	100	Electronics
3832	H04B	100	Electronics
3832	H04G	100	Electronics
3832	H04H	100	Electronics
3832	H04J	100	Electronics
3832	H04K	100	Electronics
3832	H04L	100	Electronics
3832	H04M	100	Electronics
3832	H04N	100	Electronics
3832	H04Q	100	Electronics
3832	H04R	100	Electronics
3832	H04S	100	Electronics
3830-3832	H05B	100	Electric mach., ex. electronics
3830-3832	H05C	100	Electric mach., ex. electronics
3830-3832	H05F	100	Electric mach., ex. electronics
3850	H05G	100	Instruments
3830-3832	H05H	100	Electric mach., ex. electronics
3832	H05K	100	Electronics
